id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
27202,ZJSY,large_airport,Sanya Phoenix International Airport,18.3029003143,109.4120025635,92,AS,CN,CN-46,Sanya,yes,ZJSY,SYX,,,http://en.wikipedia.org/wiki/Sanya_Phoenix_International_Airport,
32745,ZJYX,small_airport,Woody Island Airport,16.8327999115,112.34400177,,AS,CN,CN-46,Woody Island,no,ZJYX,,,,http://en.wikipedia.org/wiki/Woody_Island%2C_South_China_Sea,"VH84, Yongxing Dao Airport"
30632,ZLAK,small_airport,Ankang Wulipu Airport,32.708099,108.931,860,AS,CN,CN-61,Ankang,yes,ZLAK,AKA,,,https://en.wikipedia.org/wiki/Ankang_Wulipu_Airport,
35311,ZLAN,closed,Lanzhou City Airport,36.033333,103.86667,5040,AS,CN,CN-62,Lanzhou,no,ZLAN,,,,,LHW
30929,ZLDH,medium_airport,Dunhuang Airport,40.1610984802,94.8091964722,,AS,CN,CN-62,Dunhuang,yes,ZLDH,DNH,,,http://en.wikipedia.org/wiki/Dunhuang_Airport,
318171,ZLDL,small_airport,Delingha Airport,37.125286,97.268658,9843,AS,CN,CN-63,Delingha,yes,ZLDL,HXD,,,https://en.wikipedia.org/wiki/Delingha_Airport,
35308,ZLGM,medium_airport,Golmud Airport,36.4006,94.786102,9334,AS,CN,CN-63,Golmud,yes,ZLGM,GOQ,,,http://en.wikipedia.org/wiki/Golmud_Airport,
300741,ZLGY,medium_airport,Guyuan Liupanshan Airport,36.0788888889,106.216944444,5696,AS,CN,CN-64,Guyuan,no,ZLGY,GYU,,,http://en.wikipedia.org/wiki/Guyuan_Liupanshan_Airport,
319417,ZLHX,medium_airport,Huatugou Airport,38.201984,90.841495,2945,AS,CN,CN-63,Mengnai,yes,ZLHX,HTT,,,http://en.wikipedia.org/wiki/Huatugou_Airport,
31659,ZLHZ,small_airport,Hanzhong Chenggu Airport,33.134136,107.206014,,AS,CN,CN-61,Hanzhong,yes,ZLHZ,HZG,,,https://en.wikipedia.org/wiki/Hanzhong_Chenggu_Airport,
31677,ZLIC,medium_airport,Yinchuan Airport,38.481899,106.009003,,AS,CN,CN-64,Yinchuan,yes,ZLIC,INC,,,https://en.wikipedia.org/wiki/Yinchuan_Hedong_International_Airport,Xincheng Air Base
300515,ZLJN,medium_airport,Jining Qufu Airport,35.292778,116.346667,134,AS,CN,CN-37,Jining,yes,ZSJG,JNG,,,http://en.wikipedia.org/wiki/Jining_Qufu_Airport,
31699,ZLJQ,medium_airport,Jiayuguan Airport,39.856899,98.3414,5112,AS,CN,CN-62,Jiayuguan,yes,ZLJQ,JGN,,,http://en.wikipedia.org/wiki/Jiayuguan_Airport,
27204,ZLLL,medium_airport,Lanzhou Zhongchuan Airport,36.5152015686,103.620002747,6388,AS,CN,CN-62,Lanzhou,yes,ZLLL,LHW,,,http://en.wikipedia.org/wiki/Lanzhou_Airport,"ZGC, Datong Air Base"
323883,ZLPC,small_airport,Pucheng Neifu Airport,34.833345,109.544267,,AS,CN,CN-61,Pucheng,no,ZLPC,,,,,
31685,ZLQY,medium_airport,Qingyang Airport,35.799702,107.602997,,AS,CN,CN-62,Qingyang,yes,ZLQY,IQN,,,https://en.wikipedia.org/wiki/Qingyang_Airport,Dingxi Air Base
32299,ZLSN,medium_airport,Xi'an Xiguan Airport,34.376701,109.120003,,AS,CN,CN-61,Xi'an,no,ZLSN,SIA,,,https://en.wikipedia.org/wiki/Xi%27an_Xiguan_Airport,Lintong Air Base
312986,ZLXH,medium_airport,Gannan Xiahe Airport,34.8105,102.6447,10510,AS,CN,CN-62,Xiahe,yes,ZLXH,GXH,,,http://en.wikipedia.org/wiki/Gannan_Xiahe_Airport,Hezuo
32709,ZLXN,medium_airport,Xining Caojiabu Airport,36.5275,102.042999,7119,AS,CN,CN-63,Xining,yes,ZLXN,XNN,,,http://en.wikipedia.org/wiki/Xining_Caojiabu_Airport,
27205,ZLXY,large_airport,Xi'an Xianyang International Airport,34.447102,108.751999,1572,AS,CN,CN-61,Xi'an,yes,ZLXY,XIY,,http://www.xxia.com/,http://en.wikipedia.org/wiki/Xi'an_Xianyang_International_Airport,"西安咸阳国际机场, Xian"
31009,ZLYA,small_airport,Yan'an Ershilipu Airport,36.636902,109.554001,3100,AS,CN,CN-61,Yan'an,yes,ZLYA,ENY,,,https://en.wikipedia.org/wiki/Yan%27an_Ershilipu_Airport,
32563,ZLYL,small_airport,Yulin Yuyang Airport,38.35971,109.590927,,AS,CN,CN-61,Yulin,yes,ZLYL,UYN,,,https://en.wikipedia.org/wiki/Yulin_Yuyang_Airport,
308462,ZLZW,medium_airport,Zhongwei Shapotou Airport,37.573125,105.154454,8202,AS,CN,CN-64,Zhongwei,yes,ZLZW,ZHY,,,http://en.wikipedia.org/wiki/Zhongwei_Shapotou_Airport,
